batter,balls_faced,runs,fours,sixes,boundaries,dot_balls,strike_rate,dot_ball_pct,boundary_runs,boundary_run_pct
KR Mayers,276,379,38,22,60,141,137.32,51.09,284,74.93
MK Lomror,259,374,28,21,49,91,144.4,35.14,238,63.64
R Powell,261,365,22,28,50,116,139.85,44.44,256,70.14
P Negi,301,365,27,16,43,124,121.26,41.2,204,55.89
Rahmanullah Gurbaz,283,363,34,22,56,146,128.27,51.59,268,73.83
J Botha,322,362,34,5,39,123,112.42,38.2,166,45.86
DJ Mitchell,274,351,28,10,38,82,128.1,29.93,172,49.0
A Mishra,413,343,27,3,30,187,83.05,45.28,126,36.73
JEC Franklin,309,327,25,9,34,124,105.83,40.13,154,47.09
RN ten Doeschate,238,326,26,15,41,80,136.97,33.61,194,59.51
SA Asnodkar,254,325,45,6,51,107,127.95,42.13,216,66.46
LR Shukla,272,322,28,13,41,109,118.38,40.07,190,59.01
KV Sharma,284,320,20,14,34,116,112.68,40.85,164,51.25
Anuj Rawat,275,318,26,14,40,122,115.64,44.36,188,59.12
DB Ravi Teja,254,310,28,9,37,91,122.05,35.83,166,53.55
SN Thakur,217,309,30,13,43,79,142.4,36.41,198,64.08
R Bhatia,248,307,21,12,33,88,123.79,35.48,156,50.81
DB Das,267,304,23,16,39,124,113.86,46.44,188,61.84
C de Grandhomme,229,303,18,18,36,86,132.31,37.55,180,59.41
B Kumar,341,302,30,3,33,167,88.56,48.97,138,45.7
UBT Chand,314,300,32,9,41,170,95.54,54.14,182,60.67
A Manohar,243,292,23,14,37,99,120.16,40.74,176,60.27
Lalit Yadav,283,291,26,7,33,122,102.83,43.11,146,50.17
GH Vihari,331,284,23,1,24,146,85.8,44.11,98,34.51
CA Pujara,294,284,37,4,41,150,96.6,51.02,172,60.56
B Chipli,256,280,28,7,35,110,109.38,42.97,154,55.0
A Ashish Reddy,196,280,16,15,31,61,142.86,31.12,154,55.0
JP Inglis,177,278,26,16,42,69,157.06,38.98,200,71.94
MJ Lumb,198,278,45,6,51,96,140.4,48.48,216,77.7
PBB Rajapaksa,201,277,22,15,37,80,137.81,39.8,178,64.26
P Kumar,275,274,21,11,32,138,99.64,50.18,150,54.74
R Sathish,236,270,22,6,28,92,114.41,38.98,124,45.93
Y Nagar,249,265,19,9,28,104,106.43,41.77,130,49.06
MJ Guptill,188,264,23,15,38,83,140.43,44.15,182,68.94
VVS Laxman,238,263,32,4,36,101,110.5,42.44,152,57.79
LA Pomersbach,202,261,22,12,34,84,129.21,41.58,160,61.3
AP Tare,207,260,30,10,40,102,125.6,49.28,180,69.23
Atharva Taide,188,260,30,8,38,74,138.3,39.36,168,64.62
M Kaif,258,259,22,6,28,120,100.39,46.51,124,47.88
R Vinay Kumar,237,258,17,8,25,94,108.86,39.66,116,44.96
S Sohal,209,253,25,10,35,98,121.05,46.89,160,63.24
V Suryavanshi,129,252,18,24,42,53,195.35,41.09,216,85.71
MV Boucher,197,244,24,7,31,72,123.86,36.55,138,56.56
DJG Sammy,206,241,12,15,27,89,116.99,43.2,138,57.26
A Mhatre,131,240,31,11,42,45,183.21,34.35,190,79.17
SP Goswami,238,240,26,3,29,105,100.84,44.12,122,50.83
BCJ Cutting,146,238,15,19,34,58,163.01,39.73,174,73.11
MD Mishra,213,237,24,8,32,102,111.27,47.89,144,60.76
Aniket Verma,148,236,12,20,32,58,159.46,39.19,168,71.19
HV Patel,193,225,11,15,26,84,116.58,43.52,134,59.56
AA Jhunjhunwala,218,217,19,5,24,98,99.54,44.95,106,48.85
Ramandeep Singh,142,217,9,17,26,50,152.82,35.21,138,63.59
Harpreet Brar,174,209,18,10,28,76,120.11,43.68,132,63.16
Mohammad Nabi,145,207,16,12,28,56,142.76,38.62,136,65.7
UT Yadav,205,206,16,9,25,102,100.49,49.76,118,57.28
CA Ingram,183,205,22,5,27,78,112.02,42.62,118,57.56
K Gowtham,132,205,12,15,27,53,155.3,40.15,138,67.32
PD Collingwood,159,203,9,13,22,60,127.67,37.74,114,56.16
SP Fleming,171,196,27,3,30,86,114.62,50.29,126,64.29
BJ Rohrer,146,193,21,5,26,57,132.19,39.04,114,59.07
Salman Butt,172,193,30,2,32,86,112.21,50.0,132,68.39
HC Brook,159,190,23,4,27,70,119.5,44.03,116,61.05
Kuldeep Yadav,219,188,17,3,20,111,85.84,50.68,86,45.74
Bipul Sharma,124,187,11,9,20,34,150.81,27.42,98,52.41
FY Fazal,179,183,22,1,23,74,102.23,41.34,94,51.37
MS Wade,185,183,23,2,25,93,98.92,50.27,104,56.83
