match_id,season_id_x,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city,venue_region
548354,2012,134,494,134.0,win,43.0,,134.0,bat,"PCA Stadium, Mohali",Chandigarh,India
548353,2012,6,1419,6.0,win,7.0,,6.0,bat,"Eden Gardens, Kolkata",Kolkata,India
548355,2012,129,3,3.0,win,,2.0,3.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
548356,2012,2,1,1.0,win,,5.0,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548357,2012,252,6,6.0,win,,6.0,252.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548358,2012,1419,134,134.0,win,,7.0,1419.0,bat,"MCA Stadium, Pune",Pune,India
548364,2012,129,252,129.0,win,,9.0,129.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
548359,2012,494,2,494.0,win,25.0,,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
548360,2012,3,1,1.0,win,,9.0,1.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
548361,2012,134,129,129.0,win,,4.0,129.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548362,2012,1,1419,1.0,win,35.0,,1419.0,field,"MCA Stadium, Pune",Pune,India
548363,2012,3,6,3.0,win,27.0,,3.0,bat,"Eden Gardens, Kolkata",Kolkata,India
548365,2012,134,1419,134.0,win,45.0,,134.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548372,2012,1,252,1.0,win,21.0,,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548366,2012,2,494,494.0,win,,4.0,2.0,bat,"PCA Stadium, Mohali",Chandigarh,India
548367,2012,1,3,3.0,win,,5.0,3.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548368,2012,6,129,129.0,win,,5.0,129.0,field,"Eden Gardens, Kolkata",Kolkata,India
548369,2012,494,252,252.0,win,,5.0,494.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548370,2012,6,3,6.0,win,32.0,,3.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
548371,2012,129,494,494.0,win,,6.0,494.0,field,"HPCA Stadium, Dharamshala",Dharamsala,India
548373,2012,134,2,2.0,win,,5.0,134.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
548374,2012,494,252,252.0,win,,6.0,252.0,field,"HPCA Stadium, Dharamshala",Dharamsala,India
548380,2012,129,252,129.0,win,86.0,,252.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
548375,2012,6,1419,6.0,win,34.0,,6.0,bat,"MCA Stadium, Pune",Pune,India
548376,2012,2,1,2.0,win,9.0,,1.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
548377,2012,134,3,3.0,win,,10.0,134.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548378,2012,6,252,6.0,win,18.0,,6.0,bat,"MCA Stadium, Pune",Pune,India
548379,2012,129,3,129.0,win,38.0,,3.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548381,2012,129,6,6.0,win,,5.0,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
598004,2013,1,2,1.0,tie,,,1.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
597998,2013,252,6,6.0,win,,6.0,6.0,field,"Eden Gardens, Kolkata",Kolkata,India
597999,2013,1,3,1.0,win,2.0,,3.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
598000,2013,2,1419,2.0,win,22.0,,1419.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
598001,2013,134,252,134.0,win,5.0,,134.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
598002,2013,3,129,3.0,win,9.0,,3.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
598003,2013,1419,494,494.0,win,,8.0,1419.0,bat,"MCA Stadium, Pune",Pune,India
598005,2013,134,6,134.0,win,19.0,,6.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
598006,2013,3,252,3.0,win,44.0,,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
598007,2013,494,129,129.0,win,,10.0,129.0,field,"PCA Stadium, Mohali",Chandigarh,India
598008,2013,6,1,1.0,win,,8.0,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
598009,2013,134,1419,1419.0,win,,7.0,134.0,bat,"MCA Stadium, Pune",Pune,India
598010,2013,252,2,2.0,win,,3.0,252.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
